"Date" "Time" "GBdem_r" "Idem_r" "GBwind_r" "Iwind_r"
"240" "2007-11-13" "23:00:00" 32342.8776857699 5591.2588330928 6764.94 1261.317
"241" "2007-11-14" "00:00:00" 31572.2892042048 4939.9798971952 6183.375 1124.958
"242" "2007-11-14" "01:00:00" 31103.8748062147 4550.92906425797 5625.63 971.403
"243" "2007-11-14" "02:00:00" 30234.7900525699 4346.40706250434 5112.93 824.643
"244" "2007-11-14" "03:00:00" 29330.0505398011 4271.0735020987 4731.795 732.06
"245" "2007-11-14" "04:00:00" 28345.9791879818 4222.48244600533 4337.805 680.586
"246" "2007-11-14" "05:00:00" 29286.8191443634 4288.43676678485 3871.725 661.413
"247" "2007-11-14" "06:00:00" 34272.6915233504 4798.35625488245 3383.28 675.588
"248" "2007-11-14" "07:00:00" 40335.783312368 6002.16825051417 2851.53 721.056
"249" "2007-11-14" "08:00:00" 41442.8635831647 6569.7129093475 2282.58 775.89
"250" "2007-11-14" "09:00:00" 42453.676004327 6850.90415870162 1719.795 802.941
"251" "2007-11-14" "10:00:00" 42389.9431223931 6912.98920035135 1350.465 805.284
"252" "2007-11-14" "11:00:00" 42569.1082869906 6948.60128297651 1183.38 810.324
"253" "2007-11-14" "12:00:00" 42482.6454961152 6999.88712309995 1088.355 826.518
"254" "2007-11-14" "13:00:00" 42249.9981928318 6819.60480067955 1069.95 843.648
"255" "2007-11-14" "14:00:00" 42315.513812722 6818.29720505315 1095.72 852.162
"256" "2007-11-14" "15:00:00" 42884.6529052371 6914.1797477759 1120.155 832.071
"257" "2007-11-14" "16:00:00" 46861.941285507 7384.35903038074 1165.335 803.805
"258" "2007-11-14" "17:00:00" 49567.6918185212 8172.8659469764 1206.27 761.961
"259" "2007-11-14" "18:00:00" 48113.4233307555 7920.13881377207 1238.19 706.875
"260" "2007-11-14" "19:00:00" 46303.05293624 7677.57748411029 1256.91 646.341
"261" "2007-11-14" "20:00:00" 44043.4325767635 7336.00675261914 1273.905 586.218
"262" "2007-11-14" "21:00:00" 40512.2743700312 6844.02373097333 1259.715 516.225
"263" "2007-11-14" "22:00:00" 36815.3215333728 6203.31591982013 1228.755 430.101
"264" "2007-11-14" "23:00:00" 32985.554718978 5754.12638961825 1192.815 351.123
